Fecha,num_atascos
2024-04-06 07:57:00,2
2024-04-06 08:27:00,2
2024-04-06 08:57:00,5
2024-04-06 09:27:00,8
2024-04-06 09:57:00,8
2024-04-06 10:27:00,5
2024-04-06 10:57:00,14
2024-04-06 11:27:00,9
2024-04-06 11:57:00,11
2024-04-06 12:27:00,22
2024-04-06 12:57:00,16
2024-04-06 13:27:00,9
2024-04-06 13:57:00,9
2024-04-06 14:27:00,9
2024-04-06 14:57:00,9
2024-04-06 15:27:00,7
2024-04-06 15:57:00,10
2024-04-06 16:27:00,11
2024-04-06 16:57:00,13
2024-04-06 17:27:00,16
2024-04-06 17:57:00,13
2024-04-06 18:27:00,14
2024-04-06 18:57:00,16
2024-04-06 19:27:00,17
2024-04-06 19:57:00,13
2024-04-06 20:27:00,10
2024-04-06 20:57:00,6
2024-04-06 21:27:00,4
2024-04-06 21:57:00,9
2024-04-06 22:27:00,6
2024-04-06 22:57:00,4
2024-04-06 23:27:00,1
2024-04-06 23:57:00,1
2024-04-07 00:27:00,1
2024-04-07 00:57:00,1
2024-04-07 01:57:00,1
2024-04-07 02:27:00,1
2024-04-07 02:57:00,1
2024-04-07 03:27:00,2
2024-04-07 03:57:00,1
2024-04-07 08:57:00,1
2024-04-07 09:57:00,2
2024-04-07 10:27:00,2
2024-04-07 11:57:00,5
2024-04-07 12:27:00,5
2024-04-07 12:57:00,8
2024-04-07 13:27:00,7
2024-04-07 13:57:00,5
2024-04-07 14:27:00,6
2024-04-07 14:57:00,10
2024-04-07 15:27:00,4
2024-04-07 15:57:00,7
2024-04-07 16:27:00,11
2024-04-07 16:57:00,5
2024-04-07 17:27:00,13
2024-04-07 17:57:00,9
2024-04-07 18:27:00,10
2024-04-07 18:57:00,10
2024-04-07 19:27:00,10
2024-04-07 19:57:00,6
2024-04-07 20:27:00,6
2024-04-07 20:57:00,2
2024-04-07 21:57:00,1
2024-04-08 00:27:00,2
2024-04-08 02:27:00,1
2024-04-08 03:27:00,1
2024-04-08 03:57:00,1
2024-04-08 05:57:00,2
2024-04-08 06:27:00,2
2024-04-08 06:57:00,12
2024-04-08 07:27:00,8
